Mesh points    iterations    time
3    9    8
4    14    8
5    33    8
6    52    8
7    74    8
8    101    8
9    137    8
10    162    8
11    195    8
12    240    8
13    285    8
14    329    8
15    381    8
16    447    8
17    497    8
18    573    8
19    626    8
20    697    8
21    785    8
22    847    8
23    947    8
24    1017    8
25    1127    8
26    1188    8
27    1278    8
28    1412    8
29    1490    8
30    1620    8
31    1719    8
32    1842    8
33    1948    8
34    2087    8
35    2220    8
36    2350    8
37    2465    8
38    2599    8
39    2749    8
40    2908    8
41    3035    8
42    3219    8
43    3347    8
44    3542    8
45    3665    8
46    3885    8
47    4035    8
48    4213    8
49    4372    8
50    4543    8
51    4751    8
52    4939    8
53    5130    8
54    5358    8
55    5499    8
56    5599    8
57    5699    8
58    5799    8
59    5899    8
60    5999    8
61    6099    8
62    6199    8
63    6299    8
64    6399    8
65    6499    8
66    6599    8
67    6699    8
68    6799    8
69    6899    8
70    6999    8
71    7099    8
72    7199    8
73    7299    8
74    7399    8
75    7499    8
76    7599    8
77    7699    8
78    7799    8
79    7899    8
80    7999    8
81    8099    8
82    8199    8
83    8299    8
84    8399    8
85    8499    8
86    8599    8
87    8699    8
88    8799    8
89    8899    8
90    8999    8
91    9099    8
92    9199    8
93    9299    8
94    9399    8
95    9499    8
96    9599    8
97    9699    8
98    9799    8
99    9899    8
